Ano,Quantidade em litros,Valor em US$,Cotação Média (USD-BRL)
2010,1280574,2595303,1.75473153591156
2011,1214834,3615120,1.6691803117516417
2012,5775376,5521293,1.952577395914158
2013,9149059,22744845,2.154575287145077
2014,2324029,7472795,2.349115707865163
2015,1198479,2769160,3.327806127482447
2016,1786549,4434704,3.484529884382226
2017,2889572,7135607,3.189134494278782
2018,3856162,7486063,3.649706905372298
2019,3152873,5934826,3.9414784119679376
2020,4409717,6078288,5.148452891648271
2021,8058704,9851942,5.393881817887112
2022,7025983,10945282,5.161969448969915
2023,5538888,8923076,4.994229006767273
2024,5324465,8751275,5.3825668578839485
